,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,Filter7,Filter8,Filter9,Filter10,Filter11,Filter12,Filter13,Filter14,Filter15,Filter16,Filter17,Filter18,Filter19,Filter20,Filter21,Filter22,Filter23,Filter24,Filter25,Filter26,Filter27,Filter28,Filter29,Filter30,Filter31,Filter32
F13,-0.0127775455,-0.014179431,-0.06754382,-0.011404269,0.05615097,0.048153408,-0.06980496,-0.077036195,0.05832311,-0.053905275,-0.012384558,0.05458345,0.045206066,-0.027085476,-0.04097327,-0.0640501,0.002744813,-0.0239394,0.045188576,-0.03354588,0.05178767,0.0013157511,-0.013868607,-0.0032312656,-0.0042882734,0.012731379,-0.07302319,-0.061545108,-0.082638904,0.048123095,0.06511876,0.032154553
F14,0.03439821,-0.07384673,-0.039260056,-0.0592995,0.0631955,0.065544665,-0.10030995,-0.031637687,-0.02620351,0.031238751,0.07778808,-0.029264951,-0.019748367,-0.013832124,-0.015436337,0.083212554,-0.06799336,0.04693763,0.027534202,0.067640856,0.030932564,0.005493058,-0.040242776,0.045256067,0.055337857,-0.008662239,0.0020718996,0.030761248,-0.0072794924,-0.01659182,-0.010068651,-0.057346486
F15,0.020052034,0.0032314498,0.035278566,-0.017121907,-0.05534643,0.051085956,0.017625446,-0.019539693,0.02916713,-0.03661457,0.069500886,-0.01286344,-0.019213991,0.025625069,0.0917952,0.079486184,-0.061434504,0.023652712,0.052295208,-0.038250424,0.050789814,0.006725922,0.031097015,0.054866895,0.05206654,0.0033386045,-0.02503114,-0.015830312,-0.05889196,-0.019229842,-0.031489756,-0.051077228
F16,0.0064622704,0.033182207,-0.0010225985,0.018180594,-0.07450212,-0.027946496,-0.06509679,0.023701645,-0.009026569,-0.03229549,0.043387488,-0.06706653,0.052294616,-0.0062103407,-0.036015872,0.041408487,-0.030192517,0.034712695,0.0183262,0.034846157,0.038133543,0.0006707479,-0.031498466,-0.043320723,0.054830518,-0.011653026,-0.055844795,0.016272685,-0.074737,-0.08151552,0.003498009,-0.053155676
F17,0.058840085,-0.042631246,-0.012625314,0.052339315,-0.070637904,0.011279946,-0.031666815,-0.032365747,0.061090704,0.005794083,-0.048462823,-0.0001903825,-0.0219109,-0.08108581,0.022712922,-0.022554109,-0.054637026,0.024805345,0.03823176,-0.033903413,0.023951774,0.05613005,-0.073130816,0.0824363,-0.02922951,-0.07951,0.060932018,-0.007884599,0.063407786,-0.08843273,0.010372562,0.026814878
F18,0.039097577,0.06623576,0.05636435,0.07823066,-0.033432003,-0.019457368,-0.020296413,-0.06679782,-0.08306166,0.049622525,0.047976986,0.07322996,0.019343266,0.043954097,-0.038688913,0.010258831,0.019420002,-0.026113652,-0.02152407,0.027889958,-0.012174236,-0.060805853,0.045180146,-0.07682118,-0.09511745,0.028822586,0.05548156,0.023848452,0.008493349,0.039236147,-0.01606373,-0.003665816
F19,-0.048011668,-0.003250735,0.03433279,0.058950216,0.0115304915,0.012684112,0.029242076,-0.032331157,-0.003829847,0.02858022,0.05120313,-0.093210906,-0.08809291,-0.06585615,0.048985023,-0.034135316,0.05989228,0.079468556,0.0108092,-0.01823166,0.03140589,0.080638476,0.0276287,0.05030656,-0.08018785,-0.0055301446,-0.07470237,-0.06555083,0.066674955,-0.013909824,-0.010636472,-0.07461121
F20,-0.019556707,0.07053555,0.019258017,0.010119238,0.0618083,-0.07396139,-0.0028563067,-0.029152485,-0.06815085,-0.029018646,0.0074372785,0.052670095,0.044674985,-0.040828913,0.0141201215,0.05125695,0.04212452,0.020161362,0.05186627,-0.024602769,-0.09065018,0.03970607,-0.071053185,-0.10925739,-0.060525715,-0.06555779,-0.038371306,0.04620777,-0.04909858,0.026513288,-0.011974034,0.04315093
F21,0.023756348,-0.054249983,-0.00637029,-0.068906225,-0.007342972,-0.02594773,0.023741137,-0.03547418,0.064995706,0.0060225837,-0.05892351,0.019155813,0.000962583,0.0044666994,-0.06054005,0.0011045759,0.06885134,-0.059292138,-0.085701615,0.051901948,0.04751085,-0.021783253,-0.058439247,-0.054068673,-0.03499371,0.05803163,-0.019720867,0.013773651,0.059533697,0.0587059,0.00077404955,-0.04177143
F22,0.07951826,-0.016447786,-0.0011894803,-0.024194175,0.035897277,-0.05888294,0.015202954,0.005241648,-0.07398346,-0.0517592,0.043807037,0.0028333927,-0.02909841,0.026240213,-0.027329117,-0.015130535,0.06055228,-0.07289258,-0.004450521,0.052895874,-0.023326674,0.09538586,0.046764802,-0.003332508,0.016648978,0.010800223,-0.033310186,-0.0024501898,-0.06495884,0.05145118,-0.073605575,0.022508308
F23,-0.05690419,-0.005832994,0.028919946,0.031594332,-0.08376159,-0.044338536,0.0057782503,-0.0016694363,-0.05043375,0.06783804,-0.07679637,0.015989479,0.052531,-0.04461823,-0.05086939,-0.03409119,-0.07410554,-0.054988798,0.0037857087,0.08166169,-0.021984119,-0.053270563,0.029797252,-0.037812814,0.08202799,0.018770559,0.037800275,-0.053880952,-0.018634327,0.08926298,0.007753771,0.09432936
F24,-0.067324385,0.030639239,0.034163356,-0.08233735,-0.002808649,-0.06591342,0.032252394,0.04699916,-0.054891635,0.034340523,-0.039736267,0.0554087,0.017116603,-0.06315047,0.0383888,-0.015924511,0.020296486,0.01032854,0.043032423,0.005239366,-0.048946578,0.061903417,0.051931318,0.0076085525,0.07601681,0.07879435,0.042793047,-0.06445618,0.03620724,0.061997782,-0.013825054,0.025139114
F25,0.03276364,-0.04013682,-0.07357934,0.029656056,0.046227317,0.06764219,0.0918299,0.04295239,-0.022178048,-0.023077026,-0.075533055,0.010675016,-0.018663077,0.027603561,-0.06598394,-0.02409754,-0.07049163,-0.029409414,0.013063925,0.034372352,-0.02428471,0.0012377206,0.021936642,-0.03981683,0.040633865,0.0119982,0.038121548,0.0022605294,0.049096894,-0.08631947,0.046975657,0.03569311
F26,-0.10159393,-0.009451416,0.004945574,0.022222407,0.027886258,-0.028017836,0.05859749,0.042397566,-0.04225287,-0.09364392,-0.031628482,0.029681357,0.041357975,-0.0022939192,-0.014180132,-0.001511442,0.023328753,0.056264292,0.030051174,-0.08943858,-0.020419242,-0.045056242,0.03044392,0.014347516,-0.030545255,-0.0061047687,0.054330897,-0.04297,0.024385635,-0.040316626,0.01966387,0.049999945
F27,-0.08451924,-0.054691456,-0.049635652,-0.06960137,-0.026444955,0.011788553,0.022977984,0.08251684,-0.022650503,0.02299451,0.020854771,-0.0601705,-0.0583168,-0.01884999,0.058338664,0.00036012864,-0.038526714,-0.050353836,-0.08617986,-0.040900767,0.07215858,0.05883077,-0.002406307,-0.03701664,-0.05536745,-0.007733683,0.035575733,-0.051624913,0.0807029,0.009706708,0.0836791,-0.06590175
F28,-0.028800942,0.05926529,-0.027355349,-0.028475806,0.065726526,0.05304883,0.013319196,0.016943058,0.06013721,-0.07803958,-0.015492467,0.049592298,-0.05844316,0.06559187,-0.005749716,0.036884073,0.024672206,-0.0067464006,-0.047598884,0.012555301,0.027393542,-0.035972986,-0.08415835,-0.06450531,0.035061523,-0.061697766,-0.0675834,0.014553448,0.03968553,0.04713496,0.05665221,0.059689526
F29,0.052436784,-0.064896874,-0.071735516,-0.048340276,-0.030669324,-0.0040947446,-0.08253866,0.0653809,0.08833203,-0.04157237,-0.012297819,-0.03833193,-0.056822035,0.07121523,0.010340937,0.052311067,-0.0043807733,0.049438786,0.03770032,-0.058540396,-0.025468422,0.00041554405,-0.003327811,0.012238948,0.06538638,0.016751453,-0.029470908,0.056789026,-0.08559558,0.06361246,-0.049823433,-0.03006819
F30,0.059378773,0.068664245,0.013725985,-0.06860812,0.036419928,0.0439404,0.02916734,0.009814783,-0.029999314,-0.08965061,-0.0067521827,0.033042133,-0.039190233,0.083679825,0.05785083,0.04640837,-0.067406714,-0.019652102,-0.07506609,-0.071241006,0.044843215,0.038990427,0.00062345865,-0.093305364,0.03617419,-0.046072945,0.024116566,0.02371424,-0.078364655,0.012592921,-0.01337916,-0.04469194
